제목,사건번호,선고일자,참조조문,판시사항
개인정보보호법위반[어린이집 원장이 어린이집 내에 설치된 CCTV 영상을 시청하여 보육교사의 근무시간 중 휴대전화 사용내역을 파악한 후 이를 징계담당자에게 전달한 사건],2023도18539,2025. 6. 26.,"개인정보 보호법 제2조, 개인정보 보호법 제15조, 개인정보 보호법 제18조, 개인정보 보호법 제64조의2, 개인정보 보호법 제71조, 개인정보 보호법 제74조, 개인정보 보호법 제75조, 개인정보 보호법 제76조, 영유아보육법 제15조의4","[1] 구 개인정보 보호법 제18조 제1항에 규정된 개인정보의 ‘이용’의 의미 및 이에 해당하는지 판단하는 방법
 [2] 어린이집 원장인 피고인 甲이 어린이집 내부에 설치·관리 중인 폐쇄회로 텔레비전 영상을 시청하여 교사 乙이 근무시간 중 휴대전화를 사용한 사실을 파악한 후 이를 어린이집 사무를 수탁한 법인인 피고인 丙의 보육사업 담당자인 丁에게 乙의 업무지시 불이행 사안으로 전달하여, 개인정보처리자인 피고인 甲은 개인정보를 수집 목적의 범위를 초과하여 이용하였다는 내용으로, 피고인 丙은 사용자인 피고인 甲이 업무에 관하여 위와 같은 위반행위를 하였다는 내용으로 기소된 사안에서, 피고인 甲이 乙의 근무 태도에 관한 정보를 丁에게 전달한 행위 부분만을 분리한 뒤 그 정보가 구 개인정보 보호법상 개인정보에 해당하지 않는다고 본 원심판단에 법리오해 등의 잘못이 있다고 한 사례"
도주[도주죄의 성립을 인정하기 위해서는 범행주체가 실행에 착수할 당시 체포자의 실력적 지배 아래 있어야 하는지 문제 된 사건],2025도3061,2025. 6. 26.,"형법 제145조, 형사소송법 제200조의2, 형사소송법 제200조의3, 형사소송법 제212조",진정신분범인 형법 제145조 제1항 도주죄에서 ‘법률에 따라 체포된 자’의 의미 / 도주죄의 성립을 인정하기 위해서는 범행주체가 실행에 착수할 당시 체포자의 실력적 지배 아래에 있었어야 하는지 여부(적극) 및 여기에 해당하는지 판단하는 기준
부정처사후수뢰·개인정보보호법위반·공무상비밀누설·뇌물공여[검찰수사관과 기업에서 이른바 대관업무를 담당하는 사람이 업무상 알게 된 개인정보를 제공하거나 그 사정을 알면서도 영리 또는 부정한 목적으로 제공받았는지 문제된 사안],2025도3153,2025. 6. 26.,"개인정보 보호법 제1조, 개인정보 보호법 제2조, 개인정보 보호법 제59조, 개인정보 보호법 제71조","[1] 구 개인정보 보호법 제59조 제2호 및 제71조 제5호에서 규정한 ‘업무상 알게 된 개인정보’는 개인정보의 수집·처리 외의 일반적인 업무를 주된 내용으로 하면서 그 업무와 밀접한 관련이 있는 부수적 업무로서 개인정보의 수집·처리가 이루어지는 업무와 관련하여 알게 된 개인정보를 포함하는지 여부(적극) / 여기서 업무상 알게 되었다는 것의 의미 및 이에 대한 증명책임의 소재(=검사)
 [2] 검찰수사관인 피고인 甲은 乙 그룹에서 대관업무를 담당하는 피고인 丙에게 공정거래조사부 내부 배치표를 휴대전화로 촬영 후 카카오톡 메신저로 촬영사진 파일을 전송하여 개인정보를 처리하는 자로서 업무상 알게 된 개인정보를 누설하거나 권한 없이 다른 사람이 이용하도록 제공하였다는 내용으로, 피고인 丙은 그 사정을 알면서도 영리 또는 부정한 목적으로 위 사진 파일을 제공받았다는 내용으로 기소된 사안에서, 결론적으로 위 배치표 기재 정보가 구 개인정보 보호법 제59조 제2호의 ‘업무상 알게 된 개인정보’에 해당하지 않는다고 본 원심판단이 정당하다고 한 사례"
주택법위반[주택공급시 미계약 물량에 대하여 공개모집절차를 거치지 않고 지인 등에게만 임의로 공급한 사건],2024도16888,2025. 6. 26.,"주택공급에 관한 규칙 제4조, 주택공급에 관한 규칙 제19조, 주택공급에 관한 규칙 제26조, 주택공급에 관한 규칙 제28조, 주택법 제65조, 주택법 제101조","구 주택공급에 관한 규칙상 미계약 주택이 발생하였는데 예비입주자가 없는 경우에는 사업주체가 ‘성년자에게 1인 1주택의 기준으로 공개모집’ 절차를 준수하는 내용의 공급방법을 정하여 해당 미계약 물량을 공급하여야 하는지 여부(적극) / 주택법 제65조 제1항, 제101조 제3호에서 금지·처벌하는 주택공급질서 교란행위 중 ‘거짓이나 그 밖의 부정한 방법으로 주택을 공급받거나 받게 하는 행위’의 의미 및 여기에 적극적 행위(작위)뿐만 아니라 소극적 행위(부작위)도 포함되는지 여부(적극)"
직권남용권리행사방해·공무상비밀누설[공무상비밀누설죄에서 법령에 의한 직무상 비밀에 해당하는지 문제된 사건],2024도8067,2025. 6. 26.,형법 제127조,"[1] 공무상비밀누설죄의 구성요건 중 ‘법령에 의한 직무상 비밀’의 의미 / 공무상비밀누설죄의 보호법익 / 수사기관이 특정 사건에 대하여 내사 또는 수사를 진행하고 있는 상태에서, 검사가 수사의 대상, 방법 등에 관하여 사법경찰관리에게 지휘한 내용을 기재한 수사지휘서의 기재 내용과 이에 관계된 수사상황이 수사기관 내부의 비밀에 해당하는지 여부(적극)
 [2] 경찰관인 피고인이 경찰서 청문감사관으로 재직 중 해당 경찰서 수사과 직원으로부터 피고인의 아들 甲이 고소당한 사건 기록을 건네받아 검사의 수사지휘서 등을 열람·확인한 후 甲에게 전화하여 ‘수사지휘서에 구속 이야기가 없다. 구속될 일 없으니 걱정하지 마라.’고 말해 주어 공무상 비밀을 누설하였다는 내용으로 기소된 사안에서, 공소사실을 무죄로 판단한 원심판결에 공무상비밀누설죄에서의 ‘직무상 비밀’ 등에 관한 법리오해의 잘못이 있다고 한 사례"
항만운송사업법위반[항만운송사업법상 선박연료공급업의 의미와 선박연료공급업자의 제3자에 대한 선박연료공급업무 위탁 허용 여부가 문제된 사건],2024도874,2025. 6. 26.,"석유 및 석유대체연료 사업법 제10조, 석유 및 석유대체연료 사업법 시행규칙 제12조, 석유 및 석유대체연료 사업법 시행령 제15조, 하도급거래 공정화에 관한 법률 제2조, 항만운송사업법 제2조, 항만운송사업법 제26조의3, 항만운송사업법 제30조, 항만운송사업법 제31조, 항만운송사업법 제33조, 항만운송사업법 시행령 제2조, 항만운송사업법 시행령 제12조","[1] 항만운송사업법 제2조 제4항, 같은 법 시행령 제2조 제3호에서 규정하는 ‘선박연료공급업’의 의미(=규범적으로 선박용 연료의 공급을 의뢰받아 이를 운송하여 항만에서 선박에 공급하는 행위를 하는 사업)
 [2] 선박연료공급업자가 제3자에게 선박연료공급업무 중 일부를 위탁하여 제3자로 하여금 그 소유 연료공급선 등을 이용하여 선박용 연료를 운송·급유하게 할 경우, 수탁자가 사용한 연료공급선 등 연료공급장비에 관하여 위탁자가 장비의 추가를 위한 사업계획 변경신고 의무를 부담하는지 여부(소극) / 이때 수탁자가 사용한 장비를 사업계획 변경신고를 통해 등록하지 않은 위탁자는 항만운송사업법 제26조의3 제3항에 따른 변경신고를 하지 않고 장비를 추가한 자로서 같은 법 제31조 제1호의2 위반죄의 구성요건을 충족하는지 여부(소극)"
교통사고처리특례법위반(치상)[피고인이 톨게이트 하이패스 구간을 과속으로 진행하다가 오토바이를 들이받은 사건],2025도1049,2025. 6. 12.,"교통사고처리 특례법 제3조, 교통사고처리 특례법 제4조, 형법 제17조, 형법 제268조, 형사소송법 제327조","[1] 안전지대 옆을 통과하는 차량의 운전자에게 안전지대를 횡단하여 오는 차량이 있을 것을 미리 예상하고 운전할 업무상 주의의무가 있는지 여부(원칙적 소극) / 차량의 운전자가 제한속도를 지키며 진행하였더라면 피해자를 발견한 후에 충돌을 피할 수 있었다는 등의 사정이 없는 경우, 제한속도를 초과하여 과속으로 진행한 잘못과 교통사고의 발생 사이에 상당인과관계가 있는지 여부(소극)
 [2] 교통사고처리 특례법 제3조 제2항 제3호, 제4조 제1항 제1호에서 보험 또는 공제에 가입한 경우에도 교통사고를 일으킨 차의 운전자에 대하여 공소를 제기할 수 있도록 규정한 ‘제한속도를 시속 20km 초과하여 운전한 경우’의 의미(=제한속도 위반행위가 교통사고 발생의 직접적인 원인이 된 경우)"
사기[회생채무자가 재산 및 수입 상황 등에 관하여 허위의 내용으로 법원을 기망하여 회생계획인가결정을 받은 것이 사기죄를 구성할 수 있는지 문제된 사건],2024도13139,2025. 6. 12.,형법 제347조,회생절차의 채무자가 자신의 재산 및 수입 상황 등에 관하여 허위의 내용으로 법원을 기망함으로써 채무자에게 유리한 회생계획인가결정을 받는 행위가 사기죄를 구성할 수 있는지 여부(적극) / 이때 회생계획인가결정을 받는 행위로 인한 사기죄가 성립하기 위해서는 재산 및 수입 상황 등에 관한 채무자의 주장이 채무자의 회생계획인가의 요건과 밀접한 관련이 있고 이로 인하여 회생계획인가결정 여부 및 그 내용이 달라질 정도에 이르러야 하는지 여부(적극)
성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)[‘촬영물 등’이 피해자를 대상으로 한 것이 아닌 경우에도 「성폭력범죄의 처벌 등에 관한 특례법」 위반(촬영물등이용협박)죄가 성립하는지 문제된 사건],2024도14039,2025. 6. 12.,"성폭력범죄의 처벌 등에 관한 특례법 제14조의3, 형법 제283조","구 성폭력범죄의 처벌 등에 관한 특례법 제14조의3 제1항에서 정한 ‘촬영물 등을 이용하여’의 의미 / 실제로 촬영, 제작, 복제 등의 방법으로 만들어진 바 있는 촬영물 등을 방편 또는 수단으로 삼아 유포가능성 등 공포심을 일으킬 수 있을 정도의 해악을 고지한 경우, 같은 법 제14조의3 제1항의 죄가 성립하는지 여부(적극) 및 촬영물 등이 피해자를 대상으로 한 것이 아닌 경우에도 위 죄가 성립하는지 여부(소극)"
아동·청소년의성보호에관한법률위반(성착취물소지등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)[디지털 성범죄에서 압수수색의 혐의사실과의 객관적 관련성 인정 여부가 문제된 사건],2023도11395,2025. 6. 12.,"대한민국헌법 제12조, 아동ㆍ청소년의 성보호에 관한 법률 제11조, 아동ㆍ청소년의 성보호에 관한 법률 제15조의2, 아동ㆍ청소년의 성보호에 관한 법률 제25조의2, 형사소송법 제215조, 형사소송법 제307조, 형사소송법 제308조의2","전자정보 또는 전자정보저장매체에 대한 압수수색에서 혐의사실과 관련된 전자정보인지 판단할 때는 구체적·개별적 연관관계를 살펴보아야 하는지 여부(적극) / 스마트폰 등을 이용한 불법촬영 등의 범죄의 경우, 그 안에 저장된 같은 유형의 전자정보에서 발견되는 간접증거나 정황증거는 혐의사실과 구체적·개별적 연관관계가 인정될 수 있는지 여부(적극) / 이러한 법리는 압수수색의 혐의사실이 디지털 성범죄인 경우에 그 혐의사실과 같거나 근접한 시기에 또는 시간적 단절 없이 행하는 동종 유형이나 유사한 수법의 디지털 성범죄와 관련된 전자정보 또는 다른 목적과 수단 관계에 있는 디지털 성범죄와 관련된 전자정보에도 적용될 수 있는지 여부(적극) / 수사기관이 영장 집행 당시까지 알거나 알 수 있었던 사정에 비추어 혐의사실과의 관련성을 판단하여야 하는지 여부(적극)"
